	title	release_date	poster_url	overview
41	The OctoGames	2022-10-07	https://image.tmdb.org/t/p/w500/qGz5rffXhegQH5PGUDiObqoOt06.jpg	"8 contestants compete in 8 deadly, classic children's games. They seek fame beyond their wildest dreams, competing for the chance to take over the YouTube channel of the famous yet elusive masked YouTuber known only as ""JaxPro""."
42	Trunk - Locked In	2023-11-24	https://image.tmdb.org/t/p/w500/znbGgoqcQB0pxoTSO5imfALWOk3.jpg	28-year-old medicine student Malina wakes up disoriented in a locked trunk and realizes, to her horror, that she is missing more than just her memory of what happened. With her phone as the only link to the outside world, the intelligent young woman wages a desperate fight for survival while the vehicle races relentlessly toward a terrible secret.
43	Mean Girls	2024-01-10	https://image.tmdb.org/t/p/w500/fbbj3viSUDEGT1fFFMNpHP1iUjw.jpg	New student Cady Heron is welcomed into the top of the social food chain by the elite group of popular girls called ‘The Plastics,’ ruled by the conniving queen bee Regina George and her minions Gretchen and Karen. However, when Cady makes the major misstep of falling for Regina’s ex-boyfriend Aaron Samuels, she finds herself prey in Regina’s crosshairs. As Cady sets to take down the group’s apex predator with the help of her outcast friends Janis and Damian, she must learn how to stay true to herself while navigating the most cutthroat jungle of all: high school.
44	Miller's Girl	2024-01-18	https://image.tmdb.org/t/p/w500/aygFQeDmmtlArzo8epmsOg9mz9f.jpg	A precocious young writer becomes involved with her high school creative writing teacher in a dark coming-of-age drama that examines the blurred lines of emotional connectivity between professor and protégé.
45	Orion and the Dark	2024-02-02	https://image.tmdb.org/t/p/w500/uHiXFLMlnl5jBjtfOliapN16yBD.jpg	A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark.
46	Oppenheimer	2023-07-19	https://image.tmdb.org/t/p/w500/ptpr0kGAckfQkJeJIt8st5dglvd.jpg	The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.
47	Attack	2022-04-01	https://image.tmdb.org/t/p/w500/5jGKbYuZtdxSNOocI6ZziQeiY4n.jpg	With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in the nick of time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi. Will Arjun succeed in his mission?
48	The Boy and the Heron	2023-07-14	https://image.tmdb.org/t/p/w500/jDQPkgzerGophKRRn7MKm071vCU.jpg	"While the Second World War rages, the teenage Mahito, haunted by his mother's tragic death, is relocated from Tokyo to the serene rural home of his new stepmother Natsuko, a woman who bears a striking resemblance to the boy's mother. As he tries to adjust, this strange new world grows even stranger following the appearance of a persistent gray heron, who perplexes and bedevils Mahito, dubbing him the ""long-awaited one."""
49	Napoleon	2023-11-22	https://image.tmdb.org/t/p/w500/vcZWJGvB5xydWuUO1vaTLI82tGi.jpg	An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.
50	Mutant: Ghost War Girl	2022-09-26	https://image.tmdb.org/t/p/w500/ensNfCsxIRIr6LJnrRCXd94tfd.jpg	Wu Qingqing is an agent of the International Security Alliance (to combat mutant crime) and is ordered to infiltrate Medusa Plastic Hospital to collect evidence of the secret research on genetic induction fluid by its direct consortium to create mutant fighters. Wu Qingqing successfully infiltrates, but was forced to inject a gene induction fluid.
51	Madame Web	2024-02-14	https://image.tmdb.org/t/p/w500/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg	Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.
52	Barbie	2023-07-19	https://image.tmdb.org/t/p/w500/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg	Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.
53	The Super Mario Bros. Movie	2023-04-05	https://image.tmdb.org/t/p/w500/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg	While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.
54	Boonie Bears: Guardian Code	2023-01-22	https://image.tmdb.org/t/p/w500/lIR8h3Os8peWOave8CGE7xsTFoi.jpg	Briar and Bramble, who lost their mother Barbara when they were cubs, are thrown into danger when escorting a scientist, which may lead them to a family reunion.
55	The Wild	2023-11-15	https://image.tmdb.org/t/p/w500/otPBQncqsboG6MyAeGY8Pur7Vac.jpg	Woo-chul used to be a successful boxer, but he had to go to prison because his opponent died in the middle of a match. Now that he’s been released, he intends to become a model citizen. Meanwhile, his friend Do-shik will do whatever it takes to get ahead. After choosing different paths, they will be forced to plot against and betray one another.
56	Fast X	2023-05-17	https://image.tmdb.org/t/p/w500/fiVW06jE7z9YnO4trhaMEdclSiC.jpg	Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.
57	Kung Fu Panda 4	2024-03-06	https://image.tmdb.org/t/p/w500/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg	Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.
58	Due Justice	2023-11-24	https://image.tmdb.org/t/p/w500/35Uef7fz9ctYbJLXbJBCqvtttEQ.jpg	An attorney with a military past hunts down the gang who killed his wife and took his daughter.
59	Sixty Minutes	2024-01-19	https://image.tmdb.org/t/p/w500/jojfbnIHGsRpodIood3OQoqA45Y.jpg	Desperate to keep custody of his daughter, a mixed martial arts fighter abandons a big match and races across Berlin to attend her birthday party.
80	Godzilla x Kong: The New Empire	2024-03-27	https://image.tmdb.org/t/p/w500/tMefBSflR6PGQLv7WvFPpKLZkyk.jpg	Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.
81	My Fault	2023-06-08	https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg	Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.
82	The Hunger Games: The Ballad of Songbirds & Snakes	2023-11-15	https://image.tmdb.org/t/p/w500/mBaXZ95R2OxueZhvQbcEWy2DqyO.jpg	64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12.
83	Transformers: Rise of the Beasts	2023-06-06	https://image.tmdb.org/t/p/w500/gPbM0MK8CP8A174rmUwGsADNYKD.jpg	When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.
84	Meteor	2021-09-01	https://image.tmdb.org/t/p/w500/tVMddOS5bi3YPVPgTPlEw0TOWoF.jpg	After a meteor collides into Earth, a lonely rancher and a lost young girl are on the run from vicious mercenaries.
